packet_size,flow_duration,protocol_type,packets_per_flow,bytes_per_flow,connection_frequency,dns_entropy,src_port,dst_port,label
2.222222222,11.827131,6,13,12990,1.099167668,0.0,61230,80,1
0.0,4.3e-05,6,2,0,46511.62791,0.0,37796,51103,1
32.0,0.000167,17,4,160,23952.09581,3.183496652904747,62208,53,0
2.222222222,8.368343,6,14,11615,1.672971579,0.0,15702,80,1
0.0,9e-06,6,2,0,222222.2222,0.0,49504,2492,1
2.857142857,1.462997,6,13,11615,8.885869212,0.0,34453,80,1
42.0,0.023776,17,2,212,84.11843876,3.3398388450660446,61739,53,0
54.0,0.35861,17,2,216,5.577089317,4.31361536822413,60718,53,0
43.0,0.000141,17,4,204,28368.79433,3.8996619243904718,58341,53,0
30.0,0.00021,17,4,324,19047.61905,2.9548875183215504,57234,53,0
34.0,0.000163,17,4,168,24539.8773,2.9134880838552935,51582,53,0
0.0,5.8e-05,6,2,0,34482.75862,0.0,36448,27000,1
36.0,0.027378,17,8,352,292.2054204,3.4064194422307463,58548,53,0
28.91111111,67.7769,6,110,87461,1.622971838,0.0,5095,443,0
50.0,0.000134,17,4,232,29850.74627,3.729402364217398,57449,53,0
30.0,0.000224,17,4,312,17857.14286,4.3139939781790435,65486,53,0
2.222222222,11.843164,6,16,11615,1.350990327,0.0,58561,80,1
36.0,0.000149,17,4,176,26845.63758,3.061173460985243,61829,53,0
45.0,0.023406,17,4,302,170.8963514,3.46898023704244,53241,53,0
2.5,10.369537,6,12,11615,1.157235853,0.0,62920,80,1
2.5,5.889897,6,13,11615,2.207169327,0.0,52138,80,1
2.5,7.795554,6,12,11615,1.539338962,0.0,63267,80,1
100.3333333,0.659782,6,11,1528,16.67217354,0.0,54211,80,0
0.0,6.3e-05,6,2,0,31746.03175,0.0,35613,6007,1
70.55555556,6.020877,6,16,825,2.657420173,0.0,49835,443,0
36.0,0.085939,17,4,446,46.54464213,3.9157682590123333,17930,53,0
0.0,5.1e-05,6,2,0,39215.68627,0.0,40110,5904,1
44.0,0.000202,17,4,208,19801.9802,3.9546069370162584,55228,53,0
0.0,4.9e-05,6,2,0,40816.32653,0.0,48762,19350,1
264.6666667,0.097421,6,12,1784,123.1767278,0.0,51306,80,0
68.53571429,116.235939,6,54,15294,0.464572321,0.0,52661,443,0
2.222222222,8.810512,6,14,11615,1.589010945,0.0,54812,80,1
0.0,6e-05,6,4,8,66666.66667,0.0,39524,139,0
21.58064516,115.235615,6,60,23489,0.520672363,0.0,55654,80,0
0.0,6.9e-05,6,2,0,28985.50725,0.0,41041,49176,1
0.0,3.8e-05,6,2,0,52631.57895,0.0,45371,6156,1
51.0,0.000185,17,4,326,21621.62162,3.0378478337707633,6914,53,0
2.857142857,11.509184,6,13,11615,1.129532728,0.0,54663,80,1
0.0,2.9e-05,6,2,0,68965.51724,0.0,45423,783,1
263.6153846,10.584729,6,26,11873,2.456368982,0.0,38766,443,0
34.0,0.000259,17,4,250,15444.01544,4.109057537915503,59555,53,0
481.45,11.046073,6,40,23082,3.62119642,0.0,60596,443,0
42.0,0.023739,17,2,308,84.24954716,4.241953693451807,61440,53,0
0.0,4.4e-05,6,2,0,45454.54545,0.0,41918,2003,1
38.0,0.048807,17,4,250,81.95545721,2.87910323782307,15605,53,0
36.0,0.063654,17,4,268,62.83972728,2.895857114878866,61473,53,0
2.857142857,10.104715,6,12,11615,1.187564419,0.0,63846,80,1
45.0,0.023437,17,2,106,85.33515382,4.012610919001369,60949,53,0
0.0,4.5e-05,6,2,0,44444.44444,0.0,51887,4662,1
37.64285714,0.574945,6,25,5135,43.48242006,0.0,59034,443,0
0.0,6.8e-05,6,2,0,29411.76471,0.0,48210,5987,1
2.5,9.262679,6,13,11615,1.403481649,0.0,29002,80,1
347.4545455,10.151064,6,21,4951,2.068748655,0.0,45770,443,0
0.0,5.6e-05,6,2,0,35714.28571,0.0,56794,9999,1
2.857142857,6.526174,6,11,11615,1.68552049,0.0,16933,80,1
2.5,5.96886,6,15,11615,2.513042692,0.0,50243,80,1
2.5,3.492921,6,12,11615,3.435520013,0.0,60743,80,1
36.0,0.031083,17,4,312,128.6877071,2.5007720463898506,61527,53,0
0.0,2.5e-05,6,2,0,80000.0,0.0,60768,1151,1
0.0,4.3e-05,6,2,0,46511.62791,0.0,41174,1056,1
71.9,10.097449,6,24,9389,2.376837952,0.0,4644,443,0
35.0,0.037861,17,4,246,105.6496131,2.7793067260834166,34124,53,0
0.0,0.00083,6,4,0,4819.277108,0.0,59448,139,1
2.5,6.139229,6,12,11615,1.954642839,0.0,49997,80,1
47.0,0.000204,17,4,322,19607.84314,3.264057842228908,25131,53,0
0.0,2.9e-05,6,2,0,68965.51724,0.0,50154,1007,1
37.0,110.929667,6,30,1360,0.27044163,0.0,47016,80,0
49.0,0.096354,17,2,243,20.75679266,3.2962687255244303,60559,53,0
66.69230769,115.54883,6,54,20036,0.467334892,0.0,51224,443,0
194.3333333,0.149184,6,17,6008,113.953239,0.0,37084,443,0
37.95652174,116.102106,6,43,5249,0.370363652,0.0,36347,443,0
79.25,0.648503,6,15,4363,23.13019369,0.0,49824,443,0
0.0,8.9e-05,6,2,0,22471.91011,0.0,54599,7777,1
130.6153846,6.337026,6,25,10213,3.945068239,0.0,7362,443,0
0.0,7.4e-05,6,2,0,27027.02703,0.0,48416,2049,1
46.0,0.000213,17,4,314,18779.34272,3.110725287028735,51104,53,0
37.0,0.031404,17,4,252,127.3723093,2.77475267700451,38111,53,0
2.0,10.024926,6,17,11615,1.695773116,0.0,62576,80,1
38.0,0.152056,17,6,648,39.45914663,3.673604331951597,50919,53,0
2.222222222,8.109814,6,16,12990,1.972918244,0.0,62610,80,1
45.46153846,40.345206,6,22,4931,0.545294031,0.0,51729,443,0
0.0,5.5e-05,6,2,0,36363.63636,0.0,45371,259,1
45.0,0.071597,17,2,401,27.93413132,3.8637358684438388,60803,53,0
42.0,0.000155,17,4,200,25806.45161,3.2951116195114025,65216,53,0
2.857142857,2.031949,6,11,11615,5.413521698,0.0,64402,80,1
48.0,0.083969,17,2,160,23.8183139,3.9884368647343544,60951,53,0
0.0,1.1e-05,6,2,0,181818.1818,0.0,53049,280,1
2.5,10.663591,6,13,11615,1.21910152,0.0,50722,80,1
0.0,5.5e-05,6,2,0,36363.63636,0.0,64915,65000,1
0.0,4.2e-05,6,2,0,47619.04762,0.0,59328,3995,1
0.0,9.1e-05,6,2,0,21978.02198,0.0,46785,1152,1
0.0,0.000547,6,2,0,3656.30713,0.0,52077,8080,1
0.0,5.7e-05,6,2,0,35087.7193,0.0,44511,1594,1
709.05,119.933992,6,37,19370,0.308503031,0.0,51029,443,0
23.0,0.000163,17,4,92,24539.8773,2.9409088518456246,44750,53,0
0.0,3.8e-05,6,2,0,52631.57895,0.0,42850,2033,1
2.857142857,23.242367,6,13,11615,0.559323411,0.0,34139,80,1
72.9,0.789296,6,22,3103,27.87293994,0.0,47476,443,0
85.41666667,89.427249,6,24,1340,0.268374576,0.0,6624,80,0
0.0,1.4e-05,6,2,0,142857.1429,0.0,60390,1117,1
48.33333333,3.832839,17,6,487,1.565419262,4.366287026732894,60382,53,0
304.25,115.858822,6,35,7780,0.302091799,0.0,60139,443,0
0.0,4.3e-05,6,2,0,46511.62791,0.0,54702,1287,1
34.38461538,114.594791,6,31,858,0.270518404,0.0,50362,443,0
2.222222222,10.13443,6,14,11615,1.381429444,0.0,63273,80,1
30.0,0.037608,17,8,488,212.7206977,2.6669235046105237,58852,53,0
0.0,5e-05,6,2,0,40000.0,0.0,33534,648,1
51.5,0.226169,6,40,20195,176.8588976,0.0,51366,443,0
2.5,6.491833,6,12,11615,1.848476386,0.0,62336,80,1
43.0,0.09134,17,2,192,21.89621196,3.8672023167175937,61665,53,0
57.0,4.613637,17,4,358,0.866994954,3.73479471470908,61432,53,0
51.0,0.108848,17,2,260,18.37424666,2.824865498585442,62027,53,0
0.0,5.7e-05,6,2,0,35087.7193,0.0,54368,714,1
0.0,4.8e-05,6,2,0,41666.66667,0.0,52682,1434,1
3379.814815,16.874054,6,135,199367,8.000448499,0.0,49478,443,0
0.0,6.7e-05,6,2,0,29850.74627,0.0,44032,37,1
2.857142857,6.120871,6,13,11615,2.123880735,0.0,57810,80,1
56.0,0.023904,17,2,244,83.66800535,3.350147673391337,61684,53,0
2.857142857,8.013797,6,11,11615,1.372632723,0.0,39288,80,1
0.0,4.8e-05,6,2,0,41666.66667,0.0,38224,33899,1
2.222222222,10.481672,6,16,12990,1.526474021,0.0,52566,80,1
33.0,0.057908,17,4,524,69.07508462,4.046047078868284,57628,53,0
2.5,11.5387,6,12,11615,1.039978507,0.0,62849,80,1
0.0,4.3e-05,6,2,0,46511.62791,0.0,41041,1801,1
2.0,12.001136,6,16,11615,1.333207123,0.0,50328,80,1
45.0,0.000287,17,4,212,13937.28223,4.297022954504013,51127,53,0
0.0,4.2e-05,6,2,0,47619.04762,0.0,53446,787,1
48.0,64.999416,17,8,384,0.123078029,0.0,123,123,0
0.0,0.000485,6,2,0,4123.71134,0.0,55291,8080,1
2.5,0.195704,6,13,11615,66.42684871,0.0,60125,80,1
0.0,4.6e-05,6,2,0,43478.26087,0.0,55956,10024,1
42.0,0.00021,17,4,224,19047.61905,2.9667788517868865,49159,53,0
0.0,5.7e-05,6,2,0,35087.7193,0.0,48354,9500,1
26.13793103,115.490489,6,60,27345,0.5195233,0.0,9095,443,0
30.0,0.047213,17,6,384,127.0836422,4.126259821253354,59774,53,0
84.0,0.000229,17,4,560,17467.24891,2.755751097731457,50755,53,0
36.0,0.031489,17,4,298,127.0284861,4.0729939403050786,60503,53,0
16.0,1.7e-05,17,11,176,647058.8235,0.0,8612,8612,0
38.0,0.000163,17,4,184,24539.8773,2.773484465495592,61013,53,0
0.0,5.5e-05,6,2,0,36363.63636,0.0,56132,9876,1
25.57692308,0.719691,6,60,58333,83.36911258,0.0,9015,443,0
75.0,0.000207,17,4,556,19323.6715,3.37492195678022,53527,53,0
0.0,4.3e-05,6,2,0,46511.62791,0.0,60768,2002,1
36.0,0.000152,17,4,208,26315.78947,4.295488196941875,58242,53,0
56.0,0.000224,17,4,480,17857.14286,3.622211513091969,52286,53,0
2.222222222,8.471931,6,15,11615,1.770552664,0.0,50077,80,1
23.0,0.000201,17,4,92,19900.49751,3.340900427824976,55489,53,0
133.5,66.215693,6,37,10234,0.558779925,0.0,51142,3268,0
44.75,0.275086,6,16,4134,58.16362883,0.0,51302,443,0
30.0,0.060881,17,6,384,98.5529147,3.3421835966392157,50633,53,0
2.857142857,10.523342,6,13,11615,1.235348998,0.0,28770,80,1
52.0,0.000589,17,2,296,3395.585739,4.200937266148451,61264,53,0
45.0,0.000156,17,4,212,25641.02564,2.69030975510812,59065,53,0
32.09090909,5.978036,6,21,5075,3.512859407,0.0,52104,443,0
0.0,1.9e-05,6,2,0,105263.1579,0.0,39492,3322,1
23.0,0.000168,17,4,92,23809.52381,3.742979389739814,58285,53,0
31.0,0.000146,17,4,156,27397.26027,2.6113854759966397,60659,53,0
2.5,9.467009,6,14,11615,1.478819762,0.0,33902,80,1
0.0,4.8e-05,6,2,0,41666.66667,0.0,64318,6667,1
0.0,5.5e-05,6,2,0,36363.63636,0.0,36620,7800,1
35.0,0.023835,17,4,396,167.8204321,2.638258336109339,59634,53,0
2.5,9.188439,6,13,11615,1.414821386,0.0,59600,80,1
2.222222222,2.871143,6,15,11615,5.224400178,0.0,56069,80,1
59.54545455,116.723689,6,43,7754,0.368391373,0.0,5214,443,0
0.0,4.3e-05,6,2,0,46511.62791,0.0,55479,1503,1
56.07142857,105.863417,6,28,17766,0.264491746,0.0,50737,80,0
60.5,3.986905,17,4,357,1.003284503,4.272038345535891,61557,53,0
0.0,4.5e-05,6,2,0,44444.44444,0.0,35464,5432,1
98.0,0.030778,17,2,228,64.98148028,4.155262466261473,62338,53,0
33.0,0.025148,17,4,382,159.0583744,4.260119112096964,54692,53,0
34.0,0.087715,17,6,394,68.40335176,4.385632833195229,50918,53,0
12.98412698,116.184995,6,125,65388,1.075870425,0.0,53271,443,0
42.0,0.031012,17,4,368,128.9823294,2.854967893269457,54440,53,0
0.0,4.4e-05,6,2,0,45454.54545,0.0,54052,1309,1
2.5,2.535322,6,13,11615,5.127553818,0.0,17032,80,1
392.625,0.594779,6,17,6549,28.58204476,0.0,8521,443,0
2.857142857,7.709375,6,11,11615,1.426834212,0.0,15725,80,1
0.0,6e-05,6,2,0,33333.33333,0.0,42254,8009,1
52.0,0.049528,17,2,172,40.38119851,4.370842380150311,60580,53,0
0.0,4.2e-05,6,2,0,47619.04762,0.0,38610,2068,1
0.0,6.3e-05,6,2,0,31746.03175,0.0,34212,1132,1
2.857142857,5.265863,6,11,11615,2.088926355,0.0,61766,80,1
0.0,5e-05,6,2,0,40000.0,3.5273124717054745,33348,53,1
39.0,0.031148,17,4,212,128.4191601,3.4921352236281473,51941,53,0
0.0,5e-06,6,2,0,400000.0,0.0,33396,9071,1
0.0,2.5e-05,6,2,0,80000.0,0.0,49008,1443,1
44.0,0.084868,17,8,596,94.26403356,3.9265299567980785,63727,53,0
201.5454545,119.364715,6,66,10452,0.55292722,0.0,56518,3268,0
99.33333333,118.889379,6,10,1828,0.084111803,0.0,50637,80,0
71.76,119.812082,6,47,5228,0.392280972,0.0,46235,443,0
2.222222222,9.459756,6,15,12990,1.585664577,0.0,58158,80,1
2.857142857,1.192899,6,14,11615,11.73611513,0.0,62172,80,1
45.0,0.066702,17,4,290,59.96821685,3.6213391496650686,20693,53,0
25.70588235,116.01589,6,32,1183,0.275824286,0.0,52953,80,0
0.0,1.9e-05,6,2,0,105263.1579,0.0,54356,13782,1
0.0,6.6e-05,6,2,0,30303.0303,0.0,37338,1106,1
2.5,5.496099,6,12,11615,2.183366784,0.0,58494,80,1
32.7,116.404888,6,70,63631,0.601349318,0.0,52666,443,0
82.83333333,63.250744,6,40,12638,0.632403628,0.0,56186,443,0
43.0,9.016421,17,4,381,0.443635008,2.982267553265938,60276,53,0
0.0,5e-05,6,2,0,40000.0,0.0,38920,2119,1
2.5,11.819683,6,13,11615,1.099860292,0.0,62818,80,1
0.0,3.8e-05,6,2,0,52631.57895,0.0,38529,1124,1
2.222222222,11.147426,6,15,11615,1.345602115,0.0,51349,80,1
32.0,0.000195,17,4,160,20512.82051,3.469111831736188,54727,53,0
41.0,0.105542,17,2,172,18.94980197,3.5642365647965377,61312,53,0
0.0,3.1e-05,6,2,0,64516.12903,0.0,47339,8090,1
57.0,0.023501,17,2,130,85.10276158,3.089660557748232,62303,53,0
0.0,1.6e-05,6,2,0,125000.0,0.0,62959,32774,1
41.0,0.000153,17,4,196,26143.79085,2.71770437802315,63016,53,0
48.0,95.958417,17,4,300,0.041684723,3.4697749921302306,61187,53,0
47.0,0.030126,17,2,122,66.38783775,3.985151325262194,62282,53,0
2.222222222,5.475843,6,16,11615,2.921924533,0.0,60163,80,1
0.0,3.2e-05,6,2,0,62500.0,0.0,34025,31337,1
0.0,3.8e-05,6,2,0,52631.57895,0.0,49008,7106,1
2.857142857,10.575723,6,11,11615,1.040118014,0.0,26251,80,1
2.222222222,2.200016,6,15,11615,6.818132232,0.0,53404,80,1
51.0,0.033346,17,2,158,59.97720866,4.119963037150026,62495,53,0
0.0,4.9e-05,6,2,0,40816.32653,0.0,45423,5566,1
29.0,0.161958,17,6,316,37.04664172,3.648425571454264,56243,53,0
47.0,0.000196,17,4,444,20408.16327,2.6131530674087786,50807,53,0
0.0,4.5e-05,6,2,0,44444.44444,0.0,56086,10003,1
75.16666667,117.168884,6,48,7708,0.409665078,0.0,49454,443,0
36.0,3.799277,17,12,798,3.158495682,2.7910414641683046,63130,53,0
176.5555556,63.375954,6,34,8277,0.536481076,0.0,51992,443,0
2.5,5.912953,6,14,11615,2.367683288,0.0,52762,80,1
17.3877551,116.865172,6,117,112060,1.001153706,0.0,4473,443,0
0.0,4.5e-05,6,2,0,44444.44444,0.0,35096,5961,1
45.0,0.155801,17,2,267,12.83688808,4.464511316328498,61700,53,0
36.0,0.00021,17,4,400,19047.61905,2.698774564047008,50693,53,0
0.0,6.2e-05,6,2,0,32258.06452,0.0,45423,3372,1
0.0,3.6e-05,6,2,0,55555.55556,0.0,58436,1310,1
0.0,5.2e-05,6,2,0,38461.53846,0.0,49025,13722,1
0.0,4.9e-05,6,2,0,40816.32653,0.0,41002,1073,1
0.0,4.3e-05,6,2,0,46511.62791,0.0,56794,1556,1
0.0,9.7e-05,6,2,0,20618.5567,0.0,59478,2007,1
45.0,0.048706,17,2,162,41.06270275,3.490889035576578,60732,53,0
2.857142857,9.266787,6,10,11615,1.079122678,0.0,27516,80,1
32.0,0.000197,17,4,192,20304.56853,3.853676376337998,54816,53,0
2.5,10.103717,6,13,11615,1.286655198,0.0,50450,80,1
0.0,5.845167,6,7,0,1.197570574,0.0,8089,80,0
47.0,0.000205,17,4,324,19512.19512,2.8001241500198937,42839,53,0
53.5,32.100799,17,4,262,0.12460749,2.98332832985633,60426,53,0
41.0,0.050094,17,4,220,79.84988222,2.5616680618850447,63970,53,0
46.0,0.641778,17,2,108,3.116342411,2.741461981279379,61843,53,0
46.0,0.030793,17,4,354,129.8996525,3.999982926906121,62527,53,0
2.857142857,6.014792,6,12,11615,1.995081459,0.0,24306,80,1
0.0,5.9e-05,6,2,0,33898.30508,0.0,58704,555,1
2.857142857,3.926905,6,14,11615,3.565148635,0.0,59855,80,1
2.857142857,10.101723,6,11,11615,1.088923147,0.0,54156,80,1
0.0,4.4e-05,6,2,0,45454.54545,0.0,45423,1009,1
71.5,60.469642,6,27,2350,0.446505041,0.0,53351,443,0
2.5,7.620804,6,14,11615,1.837076508,0.0,58665,80,1
35.0,0.267449,17,4,220,14.95612248,3.0745592295710793,38787,53,0
45.0,0.000294,17,4,296,13605.44218,3.554328491017281,43332,53,0
0.0,6.1e-05,6,2,0,32786.88525,0.0,57024,7921,1
0.0,1.5e-05,6,2,0,133333.3333,0.0,42288,6788,1
49.0,0.146857,17,2,191,13.61869029,3.028011376738884,60707,53,0
55.0,0.048807,17,2,173,40.9777286,4.4331176853939205,61663,53,0
58.0,0.023283,17,2,203,85.89958339,4.2710014774579985,60280,53,0
33.0,0.031761,17,6,670,188.9109285,3.7352927842969397,49223,53,0
31.0,0.061479,17,4,252,65.062867,3.744715577799096,51895,53,0
62.42857143,118.699082,6,38,3549,0.320137269,0.0,39467,80,0
2.222222222,8.886682,6,14,11615,1.57539113,0.0,52992,80,1
50.0,0.023915,17,2,160,83.62952122,2.8006339430191094,62417,53,0
0.0,7.5e-05,6,2,0,26666.66667,0.0,53446,1054,1
48.0,0.000129,17,4,192,31007.75194,0.0,123,123,0
51.0,0.161757,17,2,150,12.36422535,4.01429896953093,60869,53,0
0.0,4.2e-05,6,2,0,47619.04762,0.0,43109,1719,1
34.0,0.061155,17,6,296,98.11135639,2.8425130483566345,55779,53,0
33.0,0.031047,17,4,262,128.8369247,4.446907229947151,7366,53,0
0.0,4.3e-05,6,2,0,46511.62791,0.0,45376,9900,1
0.0,2.5e-05,6,2,0,80000.0,0.0,35664,1296,1
2.5,11.232684,6,14,11615,1.246362846,0.0,55103,80,1
33.0,0.060847,17,4,430,65.73865597,3.9244681780501405,48500,53,0
45.0,0.060693,17,2,280,32.95272931,3.9300545181918123,61978,53,0
2.222222222,5.262524,6,15,11615,2.850343295,0.0,54524,80,1
2.5,6.137922,6,13,11615,2.117980646,0.0,25906,80,1
34.0,0.049026,17,4,414,81.58936075,3.6198175492918407,42910,53,0
108.625,117.879656,6,29,6442,0.246013612,0.0,44838,443,0
35.0,0.048071,17,4,436,83.2102515,3.77282897416585,43767,53,0
38.0,0.023404,17,2,92,85.4554777,2.5761424485409865,60814,53,0
2.5,10.138713,6,13,11615,1.282214025,0.0,62952,80,1
51.0,0.000179,17,4,320,22346.36872,2.71184776591344,65475,53,0
32.0,0.000216,17,4,322,18518.51852,2.8226106370128274,46634,53,0
2.5,11.684698,6,14,11615,1.198148211,0.0,57278,80,1
0.0,3.3e-05,6,2,0,60606.06061,0.0,47339,44443,1
0.0,4.9e-05,6,2,0,40816.32653,0.0,46358,711,1
41.0,0.023844,17,4,196,167.7570877,3.8442128808460527,53179,53,0
38.0,0.02372,17,4,274,168.6340641,4.438392403366557,57903,53,0
30.0,0.000341,17,4,324,11730.20528,4.229351221594812,55453,53,0
2.222222222,2.039512,6,15,11615,7.354700536,0.0,64756,80,1
2.857142857,10.054161,6,13,11615,1.292996999,0.0,33556,80,1
2.857142857,9.161134,6,11,11615,1.200724714,0.0,61959,80,1
2.222222222,1.525545,6,17,11615,11.14355853,0.0,55679,80,1
0.0,5e-05,6,2,0,40000.0,0.0,57794,2033,1
43.0,0.046679,17,6,392,128.537458,2.6274803397997535,60526,53,0
2.222222222,10.181048,6,14,11615,1.375104017,0.0,49385,80,1
2.222222222,2.627515,6,16,11615,6.089403866,0.0,50568,80,1
46.0,0.023279,17,2,108,85.9143434,2.630904010752934,60827,53,0
0.0,4.7e-05,6,2,0,42553.19149,0.0,41249,31038,1
52.0,0.000911,17,4,328,4390.779363,2.546994132639243,63877,53,0
58.5,51.77902,17,4,313,0.077251366,4.352594553241494,61973,53,0
11.84482759,25.907566,6,140,134811,5.40382682,0.0,4723,443,0
62.14285714,118.981107,6,38,3543,0.319378437,0.0,49890,80,0
90.0,0.411185,17,26,2340,63.23187859,0.0,51828,5355,0
0.0,4.8e-05,6,2,0,41666.66667,0.0,39154,2041,1
0.0,6.1e-05,6,2,0,32786.88525,0.0,34212,52822,1
0.0,6.5e-05,6,2,0,30769.23077,0.0,51044,19101,1
35.0,0.083244,17,4,324,48.05151122,3.7522009188588505,57028,53,0
39.0,0.048637,17,6,458,123.3628719,3.7584952678870405,62213,53,0
0.0,5.5e-05,6,2,0,36363.63636,0.0,59529,7402,1
35.0,0.000309,17,4,236,12944.98382,3.429384139536607,17944,53,0
42.0,0.000179,17,4,200,22346.36872,4.2554925171167115,56715,53,0
46.0,0.047374,17,2,144,42.21724997,3.632822723250022,62382,53,0
43.0,0.050784,17,4,260,78.76496534,3.551607742976601,53433,53,0
2.5,7.461212,6,14,11615,1.876370756,0.0,60117,80,1
0.0,4.5e-05,6,2,0,44444.44444,0.0,62223,3826,1
0.0,1.4e-05,6,2,0,142857.1429,0.0,59328,1999,1
129.5833333,30.614804,6,24,5603,0.783934465,0.0,6591,443,0
0.0,5.3e-05,6,2,0,37735.84906,0.0,59529,57294,1
2.857142857,7.36763,6,12,11615,1.628746286,0.0,56558,80,1
0.0,7e-05,6,2,0,28571.42857,0.0,42270,1073,1
43.0,0.000173,17,4,366,23121.38728,3.4777354794875635,55532,53,0
0.0,7e-05,6,2,0,28571.42857,0.0,40790,50800,1
42.0,0.050482,17,4,288,79.23616338,3.8082982351647177,10358,53,0
